Siruta,Localitate,Barbati_25-34,Barbati_35-44,Barbati_45-64,Barbati_65_,Femei_18-24,Femei_35-44,Femei_45-64,Femei_65_,
5826,Mogos,0.1218,0.1218,0.406,0.406,1.624,0.0812,0.1218,0.406,
6048,Noslac,0.27255,0.27255,0.9085,0.9085,3.634,0.1817,0.27255,0.9085,
6119,Ocolis,0.0885,0.0885,0.295,0.295,1.18,0.059,0.0885,0.295,
6164,Ohaba,0.10125,0.10125,0.3375,0.3375,1.35,0.0675,0.10125,0.3375,
6217,Pianu,0.54165,0.54165,1.8055,1.8055,7.222,0.3611,0.54165,1.8055,
6271,Poiana Vadului,0.1665,0.1665,0.555,0.555,2.22,0.111,0.1665,0.555,
6397,Ponor,0.0864,0.0864,0.288,0.288,1.152,0.0576,0.0864,0.288,
6468,Posaga,0.15975,0.15975,0.5325,0.5325,2.13,0.1065,0.15975,0.5325,
6547,Radesti,0.19905,0.19905,0.6635,0.6635,2.654,0.1327,0.19905,0.6635,
6592,Rametea,0.15765,0.15765,0.5255,0.5255,2.102,0.1051,0.15765,0.5255,
6627,Ramet,0.0813,0.0813,0.271,0.271,1.084,0.0542,0.0813,0.271,
6761,Rosia Montana,0.43065,0.43065,1.4355,1.4355,5.742,0.2871,0.43065,1.4355,
6930,Rosia De Secas,0.24015,0.24015,0.8005,0.8005,3.202,0.1601,0.24015,0.8005,
6976,Salciua,0.23235,0.23235,0.7745,0.7745,3.098,0.1549,0.23235,0.7745,
7044,Salistea,0.3531,0.3531,1.177,1.177,4.708,0.2354,0.3531,1.177,
7099,Sasciori,0.96285,0.96285,3.2095,3.2095,12.838,0.6419,0.96285,3.2095,
7197,Scarisoara,0.2523,0.2523,0.841,0.841,3.364,0.1682,0.2523,0.841,
7348,Sancel,0.40545,0.40545,1.3515,1.3515,5.406,0.2703,0.40545,1.3515,
7384,Santimbru,0.45285,0.45285,1.5095,1.5095,6.038,0.3019,0.45285,1.5095,
7446,Sohodol,0.26955,0.26955,0.8985,0.8985,3.594,0.1797,0.26955,0.8985,
7767,Stremt,0.37185,0.37185,1.2395,1.2395,4.958,0.2479,0.37185,1.2395,
7810,Sibot,0.3696,0.3696,1.232,1.232,4.928,0.2464,0.3696,1.232,
7865,Sona,0.66495,0.66495,2.2165,2.2165,8.866,0.4433,0.66495,2.2165,
7945,Spring,0.38865,0.38865,1.2955,1.2955,5.182,0.2591,0.38865,1.2955,
8014,Sugag,0.43695,0.43695,1.4565,1.4565,5.826,0.2913,0.43695,1.4565,
8096,Oras Teius,1.12785,1.12785,3.7595,3.7595,15.038,0.7519,1.12785,3.7595,
8158,Unirea,0.76065,0.76065,2.5355,2.5355,10.142,0.5071,0.76065,2.5355,
8229,Vadu Motilor,0.20625,0.20625,0.6875,0.6875,2.75,0.1375,0.20625,0.6875,
8354,Valea Lunga,0.4707,0.4707,1.569,1.569,6.276,0.3138,0.4707,1.569,
8425,Vidra,0.2487,0.2487,0.829,0.829,3.316,0.1658,0.2487,0.829,
8826,Vintu De Jos,0.82125,0.82125,2.7375,2.7375,10.95,0.5475,0.82125,2.7375,
9019,Cut,0.19035,0.19035,0.6345,0.6345,2.538,0.1269,0.19035,0.6345,
9026,Bucerdea Granoasa,0.3609,0.3609,1.203,1.203,4.812,0.2406,0.3609,1.203,
9262,Municipiul Arad,26.87325,26.87325,89.5775,89.5775,358.31,17.9155,26.87325,89.5775,
9280,Fantanele,0.5568,0.5568,1.856,1.856,7.424,0.3712,0.5568,1.856,
9333,Livada,0.5211,0.5211,1.737,1.737,6.948,0.3474,0.5211,1.737,
9360,Sofronea,0.41265,0.41265,1.3755,1.3755,5.502,0.2751,0.41265,1.3755,
9397,Vladimirescu,1.9473,1.9473,6.491,6.491,25.964,1.2982,1.9473,6.491,
9459,Oras Chisineu-Cris,1.26555,1.26555,4.2185,4.2185,16.874,0.8437,1.26555,4.2185,
9495,Oras Curtici,1.3074,1.3074,4.358,4.358,17.432,0.8716,1.3074,4.358,
9538,Oras Ineu,1.43715,1.43715,4.7905,4.7905,19.162,0.9581,1.43715,4.7905,
9574,Oras Lipova,1.7094,1.7094,5.698,5.698,22.792,1.1396,1.7094,5.698,
9627,Oras Nadlac,1.2003,1.2003,4.001,4.001,16.004,0.8002,1.2003,4.001,
9654,Oras Pancota,1.2189,1.2189,4.063,4.063,16.252,0.8126,1.2189,4.063,
9690,Oras Sebis,0.96675,0.96675,3.2225,3.2225,12.89,0.6445,0.96675,3.2225,
9743,Almas,0.39375,0.39375,1.3125,1.3125,5.25,0.2625,0.39375,1.3125,
9798,Apateu,0.51465,0.51465,1.7155,1.7155,6.862,0.3431,0.51465,1.7155,
9832,Archis,0.23175,0.23175,0.7725,0.7725,3.09,0.1545,0.23175,0.7725,
9887,Bata,0.15885,0.15885,0.5295,0.5295,2.118,0.1059,0.15885,0.5295,
9930,Beliu,0.45375,0.45375,1.5125,1.5125,6.05,0.3025,0.45375,1.5125,
10006,Birchis,0.28335,0.28335,0.9445,0.9445,3.778,0.1889,0.28335,0.9445,
10051,Barsa,0.2751,0.2751,0.917,0.917,3.668,0.1834,0.2751,0.917,
10104,Barzava,0.38145,0.38145,1.2715,1.2715,5.086,0.2543,0.38145,1.2715,
10195,Bocsig,0.5094,0.5094,1.698,1.698,6.792,0.3396,0.5094,1.698,
10239,Brazii,0.1839,0.1839,0.613,0.613,2.452,0.1226,0.1839,0.613,
10293,Buteni,0.51105,0.51105,1.7035,1.7035,6.814,0.3407,0.51105,1.7035,
10346,Carand,0.174,0.174,0.58,0.58,2.32,0.116,0.174,0.58,
10373,Cermei,0.411,0.411,1.37,1.37,5.48,0.274,0.411,1.37,
10417,Chisindia,0.19755,0.19755,0.6585,0.6585,2.634,0.1317,0.19755,0.6585,
10453,Conop,0.342,0.342,1.14,1.14,4.56,0.228,0.342,1.14,
10514,Covasint,0.40815,0.40815,1.3605,1.3605,5.442,0.2721,0.40815,1.3605,
10532,Craiva,0.43455,0.43455,1.4485,1.4485,5.794,0.2897,0.43455,1.4485,
10649,Dezna,0.1809,0.1809,0.603,0.603,2.412,0.1206,0.1809,0.603,
10701,Dieci,0.2235,0.2235,0.745,0.745,2.98,0.149,0.2235,0.745,
10765,Ususau,0.213,0.213,0.71,0.71,2.84,0.142,0.213,0.71,
10827,Felnac,0.47145,0.47145,1.5715,1.5715,6.286,0.3143,0.47145,1.5715,
10872,Ghioroc,0.6126,0.6126,2.042,2.042,8.168,0.4084,0.6126,2.042,
10916,Graniceri,0.38175,0.38175,1.2725,1.2725,5.09,0.2545,0.38175,1.2725,
10943,Gurahont,0.585,0.585,1.95,1.95,7.8,0.39,0.585,1.95,
11058,Halmagiu,0.4149,0.4149,1.383,1.383,5.532,0.2766,0.4149,1.383,
11174,Halmagel,0.1839,0.1839,0.613,0.613,2.452,0.1226,0.1839,0.613,
11236,Hasmas,0.19035,0.19035,0.6345,0.6345,2.538,0.1269,0.19035,0.6345,
11307,Ignesti,0.10815,0.10815,0.3605,0.3605,1.442,0.0721,0.10815,0.3605,
11352,Iratosu,0.38355,0.38355,1.2785,1.2785,5.114,0.2557,0.38355,1.2785,
11398,Macea,1.0749,1.0749,3.583,3.583,14.332,0.7166,1.0749,3.583,
11423,Misca,0.56805,0.56805,1.8935,1.8935,7.574,0.3787,0.56805,1.8935,
11478,Moneasa,0.138,0.138,0.46,0.46,1.84,0.092,0.138,0.46,
11502,Olari,0.3009,0.3009,1.003,1.003,4.012,0.2006,0.3009,1.003,
11539,Paulis,0.651,0.651,2.17,2.17,8.68,0.434,0.651,2.17,
11584,Oras Pecica,2.1186,2.1186,7.062,7.062,28.248,1.4124,2.1186,7.062,
11637,Peregu Mare,0.27105,0.27105,0.9035,0.9035,3.614,0.1807,0.27105,0.9035,
11664,Petris,0.2073,0.2073,0.691,0.691,2.764,0.1382,0.2073,0.691,
11735,Pilu,0.32745,0.32745,1.0915,1.0915,4.366,0.2183,0.32745,1.0915,
11762,Plescuta,0.17415,0.17415,0.5805,0.5805,2.322,0.1161,0.17415,0.5805,
11842,Savarsin,0.43875,0.43875,1.4625,1.4625,5.85,0.2925,0.43875,1.4625,
11940,Secusigiu,0.9324,0.9324,3.108,3.108,12.432,0.6216,0.9324,3.108,
11995,Seleus,0.44805,0.44805,1.4935,1.4935,5.974,0.2987,0.44805,1.4935,
12037,Semlac,0.6354,0.6354,2.118,2.118,8.472,0.4236,0.6354,2.118,
12055,Sintea Mare,0.5766,0.5766,1.922,1.922,7.688,0.3844,0.5766,1.922,
12091,Oras Santana,2.3454,2.3454,7.818,7.818,31.272,1.5636,2.3454,7.818,
12126,Socodor,0.34155,0.34155,1.1385,1.1385,4.554,0.2277,0.34155,1.1385,
12144,Sagu,0.62385,0.62385,2.0795,2.0795,8.318,0.4159,0.62385,2.0795,
12206,Seitin,0.46365,0.46365,1.5455,1.5455,6.182,0.3091,0.46365,1.5455,
12224,Sepreus,0.43605,0.43605,1.4535,1.4535,5.814,0.2907,0.43605,1.4535,
12242,Sicula,0.64155,0.64155,2.1385,2.1385,8.554,0.4277,0.64155,2.1385,
12288,Silindia,0.13125,0.13125,0.4375,0.4375,1.75,0.0875,0.13125,0.4375,
12340,Simand,0.66495,0.66495,2.2165,2.2165,8.866,0.4433,0.66495,2.2165,
12368,Siria,1.36245,1.36245,4.5415,4.5415,18.166,0.9083,1.36245,4.5415,
12402,Sistarovat,0.04785,0.04785,0.1595,0.1595,0.638,0.0319,0.04785,0.1595,
12457,Taut,0.24975,0.24975,0.8325,0.8325,3.33,0.1665,0.24975,0.8325,
12509,Tarnova,0.93045,0.93045,3.1015,3.1015,12.406,0.6203,0.93045,3.1015,
12572,Varadia De Mures,0.25275,0.25275,0.8425,0.8425,3.37,0.1685,0.25275,0.8425,
12643,Vinga,1.0299,1.0299,3.433,3.433,13.732,0.6866,1.0299,3.433,
12689,Varfurile,0.40215,0.40215,1.3405,1.3405,5.362,0.2681,0.40215,1.3405,
12778,Zabrani,0.69105,0.69105,2.3035,2.3035,9.214,0.4607,0.69105,2.3035,
12812,Zarand,0.41175,0.41175,1.3725,1.3725,5.49,0.2745,0.41175,1.3725,
12849,Zerind,0.21645,0.21645,0.7215,0.7215,2.886,0.1443,0.21645,0.7215,
12876,Zimandu Nou,0.735,0.735,2.45,2.45,9.8,0.49,0.735,2.45,
12912,Dorobanti,0.24135,0.24135,0.8045,0.8045,3.218,0.1609,0.24135,0.8045,
12920,Frumuseni,0.41475,0.41475,1.3825,1.3825,5.53,0.2765,0.41475,1.3825,
12938,Zadareni,0.4257,0.4257,1.419,1.419,5.676,0.2838,0.4257,1.419,
13169,Municipiul Pitesti,26.52045,26.52045,88.4015,88.4015,353.606,17.6803,26.52045,88.4015,
13187,Bascov,1.57845,1.57845,5.2615,5.2615,21.046,1.0523,1.57845,5.2615,
13276,Bradu,1.1571,1.1571,3.857,3.857,15.428,0.7714,1.1571,3.857,
13301,Oras Mioveni,5.18385,5.18385,17.2795,17.2795,69.118,3.4559,5.18385,17.2795,
13365,Maracineni,0.7875,0.7875,2.625,2.625,10.5,0.525,0.7875,2.625,
13392,Oras Stefanesti,2.2857,2.2857,7.619,7.619,30.476,1.5238,2.2857,7.619,
13490,Municipiul Campulung,5.54325,5.54325,18.4775,18.4775,73.91,3.6955,5.54325,18.4775,
13524,Valea Mare Pravat,0.6417,0.6417,2.139,2.139,8.556,0.4278,0.6417,2.139,
13622,Municipiul Curtea De Arges,5.01585,5.01585,16.7195,16.7195,66.878,3.3439,5.01585,16.7195,
13668,Oras Costesti,1.5963,1.5963,5.321,5.321,21.284,1.0642,1.5963,5.321,
13757,Oras Topoloveni,1.41585,1.41585,4.7195,4.7195,18.878,0.9439,1.41585,4.7195,
13819,Albestii De Arges,0.90855,0.90855,3.0285,3.0285,12.114,0.6057,0.90855,3.0285,
13891,Albestii De Muscel,0.2361,0.2361,0.787,0.787,3.148,0.1574,0.2361,0.787,
13935,Albota,0.58935,0.58935,1.9645,1.9645,7.858,0.3929,0.58935,1.9645,
13999,Aninoasa,0.5025,0.5025,1.675,1.675,6.7,0.335,0.5025,1.675,
14049,Arefu,0.3696,0.3696,1.232,1.232,4.928,0.2464,0.3696,1.232,
14085,Babana,0.43485,0.43485,1.4495,1.4495,5.798,0.2899,0.43485,1.4495,
14165,Baiculesti,0.9165,0.9165,3.055,3.055,12.22,0.611,0.9165,3.055,
14272,Balilesti,0.61095,0.61095,2.0365,2.0365,8.146,0.4073,0.61095,2.0365,
14352,Beleti-Negresti,0.2817,0.2817,0.939,0.939,3.756,0.1878,0.2817,0.939,
14405,Berevoesti,0.52635,0.52635,1.7545,1.7545,7.018,0.3509,0.52635,1.7545,
14450,Barla,0.69435,0.69435,2.3145,2.3145,9.258,0.4629,0.69435,2.3145,
14584,Bogati,0.67485,0.67485,2.2495,2.2495,8.998,0.4499,0.67485,2.2495,
14673,Boteni,0.36435,0.36435,1.2145,1.2145,4.858,0.2429,0.36435,1.2145,
14726,Botesti,0.1701,0.1701,0.567,0.567,2.268,0.1134,0.1701,0.567,
14753,Bradulet,0.2724,0.2724,0.908,0.908,3.632,0.1816,0.2724,0.908,
14851,Budeasa,0.6192,0.6192,2.064,2.064,8.256,0.4128,0.6192,2.064,
14922,Bughea De Jos,0.46245,0.46245,1.5415,1.5415,6.166,0.3083,0.46245,1.5415,
14940,Buzoesti,0.84825,0.84825,2.8275,2.8275,11.31,0.5655,0.84825,2.8275,
15064,Caldararu,0.35505,0.35505,1.1835,1.1835,4.734,0.2367,0.35505,1.1835,
15108,Calinesti,1.67385,1.67385,5.5795,5.5795,22.318,1.1159,1.67385,5.5795,
15233,Cateasca,0.55845,0.55845,1.8615,1.8615,7.446,0.3723,0.55845,1.8615,
15313,Cepari,0.3354,0.3354,1.118,1.118,4.472,0.2236,0.3354,1.118,
15402,Cetateni,0.4512,0.4512,1.504,1.504,6.016,0.3008,0.4512,1.504,
15448,Cicanesti,0.3156,0.3156,1.052,1.052,4.208,0.2104,0.3156,1.052,
15493,Ciofrangeni,0.35235,0.35235,1.1745,1.1745,4.698,0.2349,0.35235,1.1745,
15554,Ciomagesti,0.17205,0.17205,0.5735,0.5735,2.294,0.1147,0.17205,0.5735,
15652,Cocu,0.34785,0.34785,1.1595,1.1595,4.638,0.2319,0.34785,1.1595,
15741,Corbeni,0.882,0.882,2.94,2.94,11.76,0.588,0.882,2.94,
15830,Corbi,0.61425,0.61425,2.0475,2.0475,8.19,0.4095,0.61425,2.0475,
15901,Cosesti,0.79245,0.79245,2.6415,2.6415,10.566,0.5283,0.79245,2.6415,
15983,Cotmeana,0.2865,0.2865,0.955,0.955,3.82,0.191,0.2865,0.955,
16132,Cuca,0.3153,0.3153,1.051,1.051,4.204,0.2102,0.3153,1.051,
16285,Davidesti,0.4665,0.4665,1.555,1.555,6.22,0.311,0.4665,1.555,
16329,Dambovicioara,0.13875,0.13875,0.4625,0.4625,1.85,0.0925,0.13875,0.4625,
16365,Darmanesti,0.5328,0.5328,1.776,1.776,7.104,0.3552,0.5328,1.776,
16427,Dobresti,0.26745,0.26745,0.8915,0.8915,3.566,0.1783,0.26745,0.8915,
16454,Domnesti,0.4734,0.4734,1.578,1.578,6.312,0.3156,0.4734,1.578,
16472,Dragoslavele,0.3942,0.3942,1.314,1.314,5.256,0.2628,0.3942,1.314,
16506,Draganu,0.29325,0.29325,0.9775,0.9775,3.91,0.1955,0.29325,0.9775,
16551,Godeni,0.4506,0.4506,1.502,1.502,6.008,0.3004,0.4506,1.502,
16613,Harsesti,0.3429,0.3429,1.143,1.143,4.572,0.2286,0.3429,1.143,
16659,Hartiesti,0.3435,0.3435,1.145,1.145,4.58,0.229,0.3435,1.145,
16739,Izvoru,0.32985,0.32985,1.0995,1.0995,4.398,0.2199,0.32985,1.0995,
16757,Leordeni,0.85605,0.85605,2.8535,2.8535,11.414,0.5707,0.85605,2.8535,
16908,Leresti,0.696,0.696,2.32,2.32,9.28,0.464,0.696,2.32,
16944,Lunca Corbului,0.4053,0.4053,1.351,1.351,5.404,0.2702,0.4053,1.351,
17049,Malureni,0.7029,0.7029,2.343,2.343,9.372,0.4686,0.7029,2.343,
17101,Merisani,0.69645,0.69645,2.3215,2.3215,9.286,0.4643,0.69645,2.3215,
17209,Micesti,0.6936,0.6936,2.312,2.312,9.248,0.4624,0.6936,2.312,
17254,Mihaesti,0.9189,0.9189,3.063,3.063,12.252,0.6126,0.9189,3.063,
17334,Mioarele,0.24015,0.24015,0.8005,0.8005,3.202,0.1601,0.24015,0.8005,
17398,Mirosi,0.3552,0.3552,1.184,1.184,4.736,0.2368,0.3552,1.184,
17423,Moraresti,0.27855,0.27855,0.9285,0.9285,3.714,0.1857,0.27855,0.9285,
17496,Mosoaia,0.85635,0.85635,2.8545,2.8545,11.418,0.5709,0.85635,2.8545,
17575,Mozaceni,0.3213,0.3213,1.071,1.071,4.284,0.2142,0.3213,1.071,
17619,Musatesti,0.5526,0.5526,1.842,1.842,7.368,0.3684,0.5526,1.842,
17726,Negrasi,0.30705,0.30705,1.0235,1.0235,4.094,0.2047,0.30705,1.0235,
17771,Nucsoara,0.2169,0.2169,0.723,0.723,2.892,0.1446,0.2169,0.723,
17824,Oarja,0.42525,0.42525,1.4175,1.4175,5.67,0.2835,0.42525,1.4175,
17851,Pietrosani,0.8505,0.8505,2.835,2.835,11.34,0.567,0.8505,2.835,
17913,Poienarii De Arges,0.14985,0.14985,0.4995,0.4995,1.998,0.0999,0.14985,0.4995,
17968,Poienarii De Muscel,0.51165,0.51165,1.7055,1.7055,6.822,0.3411,0.51165,1.7055,
18028,Poiana Lacului,0.97725,0.97725,3.2575,3.2575,13.03,0.6515,0.97725,3.2575,
18162,Popesti,0.3021,0.3021,1.007,1.007,4.028,0.2014,0.3021,1.007,
18242,Priboieni,0.5298,0.5298,1.766,1.766,7.064,0.3532,0.5298,1.766,
18331,Ratesti,0.4596,0.4596,1.532,1.532,6.128,0.3064,0.4596,1.532,
18411,Recea,0.41535,0.41535,1.3845,1.3845,5.538,0.2769,0.41535,1.3845,
18475,Rociu,0.3756,0.3756,1.252,1.252,5.008,0.2504,0.3756,1.252,
18527,Rucar,0.9072,0.9072,3.024,3.024,12.096,0.6048,0.9072,3.024,
18554,Salatrucu,0.33405,0.33405,1.1135,1.1135,4.454,0.2227,0.33405,1.1135,
18581,Sapata,0.2439,0.2439,0.813,0.813,3.252,0.1626,0.2439,0.813,
18670,Schitu Golesti,0.76125,0.76125,2.5375,2.5375,10.15,0.5075,0.76125,2.5375,
18741,Slobozia,0.71595,0.71595,2.3865,2.3865,9.546,0.4773,0.71595,2.3865,
18778,Stalpeni,0.7536,0.7536,2.512,2.512,10.048,0.5024,0.7536,2.512,
18858,Stoenesti,0.687,0.687,2.29,2.29,9.16,0.458,0.687,2.29,
18938,Stolnici,0.4599,0.4599,1.533,1.533,6.132,0.3066,0.4599,1.533,
19007,Suseni,0.46005,0.46005,1.5335,1.5335,6.134,0.3067,0.46005,1.5335,
19114,Stefan Cel Mare,0.35475,0.35475,1.1825,1.1825,4.73,0.2365,0.35475,1.1825,
19141,Suici,0.36765,0.36765,1.2255,1.2255,4.902,0.2451,0.36765,1.2255,
19212,Teiu,0.20355,0.20355,0.6785,0.6785,2.714,0.1357,0.20355,0.6785,
19249,Tigveni,0.52425,0.52425,1.7475,1.7475,6.99,0.3495,0.52425,1.7475,
19338,Titesti,0.76935,0.76935,2.5645,2.5645,10.258,0.5129,0.76935,2.5645,
19392,Uda,0.294,0.294,0.98,0.98,3.92,0.196,0.294,0.98,
19560,Ungheni,0.42,0.42,1.4,1.4,5.6,0.28,0.42,1.4,
19631,Valea Danului,0.453,0.453,1.51,1.51,6.04,0.302,0.453,1.51,
19695,Valea Iasului,0.41535,0.41535,1.3845,1.3845,5.538,0.2769,0.41535,1.3845,
19793,Vedea,0.5418,0.5418,1.806,1.806,7.224,0.3612,0.5418,1.806,
19999,Vladesti,0.48345,0.48345,1.6115,1.6115,6.446,0.3223,0.48345,1.6115,
20048,Raca,0.1692,0.1692,0.564,0.564,2.256,0.1128,0.1692,0.564,
20055,Vulturesti,0.4218,0.4218,1.406,1.406,5.624,0.2812,0.4218,1.406,
20063,Bughea De Sus,0.4503,0.4503,1.501,1.501,6.004,0.3002,0.4503,1.501,
20297,Municipiul Bacau,29.6043,29.6043,98.681,98.681,394.724,19.7362,29.6043,98.681,
20313,Hemeius,0.8268,0.8268,2.756,2.756,11.024,0.5512,0.8268,2.756,
20359,Letea Veche,1.03545,1.03545,3.4515,3.4515,13.806,0.6903,1.03545,3.4515,
20411,Magura,0.76575,0.76575,2.5525,2.5525,10.21,0.5105,0.76575,2.5525,
20466,Margineni,1.47945,1.47945,4.9315,4.9315,19.726,0.9863,1.47945,4.9315,
20563,Municipiul Onesti,7.89585,7.89585,26.3195,26.3195,105.278,5.2639,7.89585,26.3195,
20607,Gura Vaii,0.7929,0.7929,2.643,2.643,10.572,0.5286,0.7929,2.643,
20670,Stefan Cel Mare,0.78855,0.78855,2.6285,2.6285,10.514,0.5257,0.78855,2.6285,
20778,Oras Buhusi,3.1257,3.1257,10.419,10.419,41.676,2.0838,3.1257,10.419,
20821,Oras Comanesti,3.60885,3.60885,12.0295,12.0295,48.118,2.4059,3.60885,12.0295,
20876,Municipiul Moinesti,3.70725,3.70725,12.3575,12.3575,49.43,2.4715,3.70725,12.3575,
20910,Oras Slanic-Moldova,0.77535,0.77535,2.5845,2.5845,10.338,0.5169,0.77535,2.5845,
20965,Oras Targu Ocna,1.9701,1.9701,6.567,6.567,26.268,1.3134,1.9701,6.567,
21007,Agas,0.9354,0.9354,3.118,3.118,12.472,0.6236,0.9354,3.118,
21098,Ardeoani,0.37395,0.37395,1.2465,1.2465,4.986,0.2493,0.37395,1.2465,
21123,Asau,1.0731,1.0731,3.577,3.577,14.308,0.7154,1.0731,3.577,
21196,Balcani,1.21905,1.21905,4.0635,4.0635,16.254,0.8127,1.21905,4.0635,
21249,Beresti-Bistrita,0.3369,0.3369,1.123,1.123,4.492,0.2246,0.3369,1.123,
21338,Beresti-Tazlau,0.861,0.861,2.87,2.87,11.48,0.574,0.861,2.87,
21418,Berzunti,0.8067,0.8067,2.689,2.689,10.756,0.5378,0.8067,2.689,
21454,Barsanesti,0.7257,0.7257,2.419,2.419,9.676,0.4838,0.7257,2.419,
21506,Blagesti,1.14735,1.14735,3.8245,3.8245,15.298,0.7649,1.14735,3.8245,
21560,Bogdanesti,0.4305,0.4305,1.435,1.435,5.74,0.287,0.4305,1.435,
21597,Brusturoasa,0.5265,0.5265,1.755,1.755,7.02,0.351,0.5265,1.755,
21668,Buhoci,0.77505,0.77505,2.5835,2.5835,10.334,0.5167,0.77505,2.5835,
21720,Casin,0.5955,0.5955,1.985,1.985,7.94,0.397,0.5955,1.985,
21757,Caiuti,0.813,0.813,2.71,2.71,10.84,0.542,0.813,2.71,
21855,Cleja,1.07805,1.07805,3.5935,3.5935,14.374,0.7187,1.07805,3.5935,
21891,Colonesti,0.34575,0.34575,1.1525,1.1525,4.61,0.2305,0.34575,1.1525,
21971,Corbasca,0.83745,0.83745,2.7915,2.7915,11.166,0.5583,0.83745,2.7915,
22059,Cotofanesti,0.54375,0.54375,1.8125,1.8125,7.25,0.3625,0.54375,1.8125,
